scenario,municipio,region,p50,baseline_p50,abs_impact_vs_baseline,pct_impact_vs_baseline
earthquake_m6_8,Aguadilla,West,49812.05969274321,50460.53383745808,-648.4741447148699,-1.2851115424258388
earthquake_m6_8,Coamo,South,30479.083487584838,31124.8626291133,-645.7791415284628,-2.0748015797647876
earthquake_m6_8,Vega Baja,North,49410.729634052215,50039.66651522549,-628.9368811732711,-1.256876644015814
earthquake_m6_8,Guayama,South,31390.627819790487,32009.807738982196,-619.1799191917089,-1.9343443866976402
earthquake_m6_8,Cabo Rojo,West,43141.36889887757,43755.86582754467,-614.4969286671039,-1.4043761151682506
earthquake_m6_8,Gurabo,East,35195.0088655503,35790.0332448611,-595.024379310802,-1.6625421251773729
earthquake_m6_8,San Sebastián,West,35843.71413193437,36437.452483790126,-593.7383518557544,-1.6294727303449381
earthquake_m6_8,Río Grande,East,40705.99910966562,41292.22932638556,-586.2302167199377,-1.4197107452983633
earthquake_m6_8,Isabela,West,39213.64201514156,39780.04632661537,-566.4043114738088,-1.423840251022655
earthquake_m6_8,Canóvanas,East,36850.486051815664,37406.306091140366,-555.8200393247025,-1.4858992972212985
earthquake_m6_8,Yauco,South,29851.928512070714,30406.56143876256,-554.6329266918474,-1.8240567181818734
earthquake_m6_8,Cidra,Central Mountains,36367.5085865003,36871.24925926882,-503.7406727685229,-1.366215365328016
earthquake_m6_8,Juncos,East,32452.76830508223,32935.661674566174,-482.8933694839434,-1.4661717570922432
earthquake_m6_8,San Lorenzo,East,33053.632388712416,33536.206149658195,-482.5737609457792,-1.438963485590029
earthquake_m6_8,Aguada,West,34599.50830218206,35074.98882129394,-475.4805191118794,-1.3556113204609672
earthquake_m6_8,Cayey,Central Mountains,37683.216739106385,38154.4958045137,-471.27906540731783,-1.235186196200672
earthquake_m6_8,Las Piedras,East,30788.52797556539,31246.828497285904,-458.30052172051364,-1.4667105231506026
earthquake_m6_8,Moca,West,34217.841085378546,34670.98454057217,-453.1434551936254,-1.3069817924072924
earthquake_m6_8,Salinas,South,22440.48194158991,22878.13680519075,-437.6548636008374,-1.9129829816453379
earthquake_m6_8,San Germán,West,29027.40684904345,29463.32748845498,-435.9206394115281,-1.479536347625165
earthquake_m6_8,Corozal,Central Mountains,31668.6756963187,32097.265682716767,-428.5899863980667,-1.335285038403901
earthquake_m6_8,Naranjito,Central Mountains,26762.78692227276,27158.50687645637,-395.71995418360893,-1.4570755159101085
earthquake_m6_8,Yabucoa,East,25990.43137490839,26382.9580611793,-392.52668627091043,-1.4878039276743813
earthquake_m6_8,Manatí,North,36040.38522372782,36432.21239398803,-391.8271702602142,-1.0754965029926997
earthquake_m6_8,Dorado,North,32986.466408421475,33370.71762534043,-384.25121691895765,-1.1514622527241432
earthquake_m6_8,Fajardo,East,27821.48400398022,28201.875605754627,-380.3916017744086,-1.3488166783374835
earthquake_m6_8,Villalba,South,19381.917650407915,19758.883830664738,-376.96618025682255,-1.9078313506342452
earthquake_m6_8,Peñuelas,South,17887.675247518495,18255.245994604902,-367.5707470864072,-2.013507499132238
